index,user_id,comment,label_AB,label_AC,label_BC
1,ucbalumnus,"
If he wants JD or MBA, the $270,000 less debt will mean more options in career and life choices.
Maryland is a respectable enough school that it is impossible to ignore that price difference. It even has famous alumni, including a founder of a big well known computer company.

",0,2,2
1,ucbalumnus,"
If he wants JD or MBA, the $270,000 less debt will mean more options in career and life choices.
Maryland is a respectable enough school that it is impossible to ignore that price difference. It even has famous alumni, including a founder of a big well known computer company.

",2,1,2
1,ucbalumnus,"
If he wants JD or MBA, the $270,000 less debt will mean more options in career and life choices.
Maryland is a respectable enough school that it is impossible to ignore that price difference. It even has famous alumni, including a founder of a big well known computer company.

",0,2,2
2,osuprof,"
UMCP is a solid school as far as CS and ECE are concerned. If he wants to consider CS - cool things are happening with a new building (because of a 31 million dollar gift from an alumnus).
I know high GPA students from UMCP get into absolutely top grad schools (I know of one who went to Stanford for CS PhD, and then spent sometime on faculty of Harvard!). Sergey Brin himself went from CS undergrad to Stanford’s PhD program.

",0,0,0
2,osuprof,"
UMCP is a solid school as far as CS and ECE are concerned. If he wants to consider CS - cool things are happening with a new building (because of a 31 million dollar gift from an alumnus).
I know high GPA students from UMCP get into absolutely top grad schools (I know of one who went to Stanford for CS PhD, and then spent sometime on faculty of Harvard!). Sergey Brin himself went from CS undergrad to Stanford’s PhD program.

",3,2,0
2,osuprof,"
UMCP is a solid school as far as CS and ECE are concerned. If he wants to consider CS - cool things are happening with a new building (because of a 31 million dollar gift from an alumnus).
I know high GPA students from UMCP get into absolutely top grad schools (I know of one who went to Stanford for CS PhD, and then spent sometime on faculty of Harvard!). Sergey Brin himself went from CS undergrad to Stanford’s PhD program.

",0,0,0
4,osuprof,"
@Roark345
Among grad schools, the only one I see being hard to access from a good (but not top 3-5) state school are the MBA programs. Feeder school data from M7 business schools suggests as such. High GPA and research experience at UMCP --&gt; pretty good  for PhD programs in computer engineering. I don’t think law schools place that much emphasis on undergrad school, though I am not particularly knowledgeable in this area.
If he wants to go for a PhD program in computer engineering, money won’t be an issue … if a school wants you, it will pay for you to attend. Law and business schools are a different matter.
I can see that it is a hard decision. In any case, congratulations to your son on his accomplishments and being in position!

",0,0,0
4,osuprof,"
@Roark345
Among grad schools, the only one I see being hard to access from a good (but not top 3-5) state school are the MBA programs. Feeder school data from M7 business schools suggests as such. High GPA and research experience at UMCP --&gt; pretty good  for PhD programs in computer engineering. I don’t think law schools place that much emphasis on undergrad school, though I am not particularly knowledgeable in this area.
If he wants to go for a PhD program in computer engineering, money won’t be an issue … if a school wants you, it will pay for you to attend. Law and business schools are a different matter.
I can see that it is a hard decision. In any case, congratulations to your son on his accomplishments and being in position!

",2,1,3
4,osuprof,"
@Roark345
Among grad schools, the only one I see being hard to access from a good (but not top 3-5) state school are the MBA programs. Feeder school data from M7 business schools suggests as such. High GPA and research experience at UMCP --&gt; pretty good  for PhD programs in computer engineering. I don’t think law schools place that much emphasis on undergrad school, though I am not particularly knowledgeable in this area.
If he wants to go for a PhD program in computer engineering, money won’t be an issue … if a school wants you, it will pay for you to attend. Law and business schools are a different matter.
I can see that it is a hard decision. In any case, congratulations to your son on his accomplishments and being in position!

",0,0,0
5,ucbalumnus,"
For “grad school”:
PhD program:  funded with tuition waiver and stipend (usually for doing teaching assistant or research assistant work)
JD program:  expensive, admission mainly based on college GPA and LSAT score ( http://lawschoolnumbers.com )
MBA program:  expensive, admission significantly depends on good post-graduation work experience

",0,0,0
